Gene,ExomiserScore_increasedBP,BrainPutamenbasalganglia_GTExTPM,KidneyMedulla_GTExTPM,HeartLeftVentricle_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CellsCulturedfibroblasts_GTExTPM,Liver_GTExTPM,WholeBlood_GTExTPM,Testis_GTExTPM,AdrenalGland_GTExTPM,Effect_HF_Median,gene_damage_index_score,HIPred_haploinsufficiency,pLI_exac,SDI_Drug_Probability,H3k4me1_count
FAM132A,0.5547699706142856,15.87154085714285,26.64773285714286,15.545965857142853,33.85064242857142,38.89652571428572,22.486419285714287,32.18191342857142,65.42043142857146,38.73820714285714,0.004607439147700356,2036.93326,0.179693475,4.68e-05,0.13933007217142862,2.0
TNFRSF18,0.500345397,0.314452,0.899983,0.214656,16.229,0.137432,0.458,6.31375,2.10033,0.294272,0.0713155054165949,185.06659,0.412388772,8.37e-07,0.070662228,7.0
SDF4,0.0,45.7135,91.5498,65.7977,97.6579,260.749,106.336,64.3248,168.828,127.243,0.0455468149559704,109.15684,0.309710115,0.001309827,0.175658079,130.0
TNFRSF4,0.501149682,0.465603,4.30445,3.18482,11.0029,0.11721,0.607381,5.45951,0.96684,0.776524,0.0558649726622244,28.93778,0.146139458,0.00720933,0.080401788,36.0
TTLL10,0.0,0.103452,0.639759,0.167263,0.0406025,0.0304697,0.069347,0.0343699,80.7543,0.0746875,0.0216292080166987,2864.03353,0.146139458,1.95e-05,0.053038083,130.9857142857143
UBE2J2,0.500093921,11.5002,21.1208,9.70112,28.4656,33.9686,13.5925,14.369,94.4995,22.1492,-0.0360367108279675,103.46629,0.69566071,0.415938847,0.093689353,189.0
ATAD3C,0.0,1.76131,5.37891,0.281261,0.50529,0.114136,2.79422,0.155871,2.485,0.287711,-0.0240317365716629,1000.0517935714288,0.111908376,4.91e-05,0.054433199,67.14285714285714
MRPL20,0.500081602,43.775,70.6306,51.5125,98.8024,90.6709,39.8737,22.8821,57.2816,65.8336,0.0132419372709262,226.10236,0.51777178,0.000171803,0.085714011,11.0
CPSF3L,0.4750652149857143,13.078317000000004,22.995221428571423,12.781680999999999,41.357168428571434,44.060568571428554,22.11319342857143,17.074355571428566,45.830369999999995,38.44466428571429,0.0036928276750344755,40.61404,0.533326328,5.79e-09,0.10606381509999997,15.0
AURKAIP1,0.500008673,65.7855,103.556,84.1119,109.227,115.691,74.3371,60.9225,378.875,89.2633,-0.0072441757959869,221.34313,0.642399788,0.002475388,0.108766973,83.0
SSU72,0.500273751,28.3202,46.8843,23.1257,47.2946,52.8112,25.8181,34.2475,44.945,37.9991,-0.0030376938401651,0.82029,0.715341866,0.606848849,0.078325318,138.0
GLTPD1,0.4667968459428571,19.02235885714286,27.221217142857157,12.82188057142857,35.134458814285715,40.67297285714288,15.537942999999999,19.983874571428572,48.8138157142857,32.18324285714285,-0.0014783879833935414,44.57097,0.291500628,0.00138279,0.08536708932857147,2.0
MXRA8,0.0,12.2307,30.8434,17.0047,1.68087,371.277,6.92637,0.800333,50.9936,23.9249,0.0184978548821194,333.33635,0.524724424,0.004712972,0.09234013,22.0
ACAP3,0.0,89.2905,23.2914,24.2132,22.3836,26.5497,20.5668,16.8516,28.8379,38.409,-0.0140303990094887,131.90999,0.563471615,0.03943093,0.09836582847142863,56.0
VWA1,0.501273966,20.4114,33.5287,5.84122,1.80204,3.69162,32.9391,0.113017,20.0356,7.83973,-0.0423533748180793,1206.5284107142859,0.180262446,0.03319976,0.116103305,107.81428571428572
ATAD3A,0.500189754,7.32559,14.3091,9.05116,34.3654,32.1132,13.2302,4.89505,25.9997,17.3326,-0.0495800260281962,1511.84536,0.407012284,0.040130598,0.089746278,6.0
CCNL2,0.0,40.0554,112.042,42.2754,66.3685,157.635,115.191,32.4192,93.9077,146.699,-0.0292671347806339,763.45124,0.66579318,0.104548195,0.096800514,1.0
DVL1,0.549612831,51.4209,43.7654,44.6852,24.0276,63.704,34.4933,10.1634,135.589,64.1901,0.041746367156199,128.03318,0.692661643,0.157164972,0.2888806,5.0
SCNN1D,0.511358082,8.63271,6.64096,2.36663,1.96201,2.15254,5.87678,1.2831,61.299,6.81546,-0.0514501487938229,880.06096,0.340754777,2.82e-15,0.091800943,26.0
ATAD3B,0.500034058,8.09905,32.1831,6.50418,30.277,25.8964,14.0966,8.0319,41.0997,15.7156,0.0120416261669849,6153.92777,0.252101153,1.92e-13,0.102089964,167.17142857142858
PUSL1,0.0,6.52588,9.26247,5.75617,19.3828,25.4886,8.39923,7.46617,23.985,17.3402,-0.042012906346326,736.17658,0.196595117,6.59e-12,0.053790354,14.0
